"Trust-Dax","Snacks",252.00,20
"Statcom","Air Fresheners",917.00,8
"Konksing","Snacks",348.00,13
"Sancof","Snacks",120.00,13
"Geo-Ity","Cakes",341.00,14
"Tempphase","Juices",91.00,9
"Faxtom","Cakes",844.00,0
"K-ing","Cakes",103.00,20
"Re Hattip","Tea & Coffee",941.00,13
"Transtraxing","Tea & Coffee",386.00,7
"Sailjob","Air Fresheners",825.00,2
"Hot Ex","Tea & Coffee",350.00,1
"Volt Fan","Cakes",514.00,2
"Zaam Warm","Health & Medicine",442.00,16
"Saoplus","Bath Products",517.00,7
"Bio Hotin","Tea & Coffee",172.00,19
"S--Tip","Juices",523.00,7
"Saltsoft","Tea & Coffee",746.00,12
"Rankeco","Health & Medicine",140.00,16
"Zenron","Tea & Coffee",311.00,2
"Pluswarm","Air Fresheners",1000.00,9
"Lam Zumtrax","Water",584.00,17
"Bigwarm","Water",901.00,16
"Homelex","Health & Medicine",249.00,4
"Fresh Strong","Air Fresheners",77.00,7
"Flexkix","Health & Medicine",742.00,6
"Lightin","Air Fresheners",398.00,8
"Biostrong","Snacks",260.00,1
"Kin Sillux","Cakes",125.00,0
"Groovejob","Tea & Coffee",27.00,8
"Vaiaing","Air Fresheners",684.00,1
"Apcantech","Air Fresheners",538.00,7
"Tough Statla","Water",831.00,12
"Ranex","Bath Products",383.00,7
"Keydandom","Air Fresheners",375.00,16
"Tamp-Tex","Cakes",323.00,14
"Zoombam","Air Fresheners",207.00,6
"Spanplus","Tea & Coffee",509.00,15
"Jay Keydex","Tea & Coffee",827.00,1
"Jobcof","Health & Medicine",697.00,20
"Grooveity","Tea & Coffee",41.00,6
"Techeco","Snacks",415.00,10
"Zerdex","Tea & Coffee",971.00,2
"Overlight","Dental Care",295.00,12
"Geolax","Water",678.00,6
"Fase Jaylux","Tea & Coffee",229.00,16
"Alphagohold","Dental Care",496.00,2
"Canlatplus","Tea & Coffee",881.00,4
"Strongfind","Snacks",533.00,15
"Hattip","Cakes",704.00,12
"Opestring","Air Fresheners",508.00,8
"Nimdom","Snacks",639.00,1
"Singtough","Air Fresheners",472.00,17
"Kan String","Air Fresheners",852.00,5
"Zerwarm","Cakes",869.00,19
"Danity","Juices",334.00,7
"Bam-Sing","Air Fresheners",721.00,2
"Unisantech","Snacks",941.00,20
"Ontofind","Candy",436.00,3
"Refan","Tea & Coffee",850.00,1
"Intip","Water",230.00,10
"Eco Nimtouch","Cakes",354.00,17
"Alphaflex","Candy",54.00,1
"Funtoit","Candy",496.00,20
"Stim Tone","Water",230.00,10
"Key Solostock","Water",992.00,3
"Singlezumjob","Juices",59.00,1
"Nimtone","Health & Medicine",79.00,3
"Xxx-tam","Health & Medicine",101.00,10
"Trippleovetough","Air Fresheners",831.00,7
"Sandax","Air Fresheners",377.00,13
"Strongis","Health & Medicine",463.00,5
"Stockdom","Bath Products",143.00,16
"Salt Sanity","Air Fresheners",226.00,12
"Zathzimis","Water",353.00,6
"Light-Dax","Snacks",299.00,8
"New Dom","Candy",746.00,5
"Tempphase","Snacks",191.00,5
"Flexstock","Health & Medicine",525.00,6
"Freshnix","Cakes",563.00,7
"Zencom","Health & Medicine",209.00,1
"K--Fax","Juices",455.00,3
"Tipstring","Snacks",84.00,4
"Sumzap","Water",334.00,13
"Strongflex","Candy",348.00,13
"Zotex","Tea & Coffee",243.00,0
"Roundit","Candy",130.00,2
"Namnix","Dental Care",351.00,1
"Zon Kayfresh","Water",90.00,16
"Strong Ozejob","Health & Medicine",188.00,11
"Jaykix","Water",745.00,0
"Ranknix","Cakes",828.00,3
"Superhome","Cakes",731.00,6
"Geo Plus","Bath Products",645.00,12
"Treeit","Tea & Coffee",449.00,13
"Zam-La","Candy",298.00,14
"Quad Finkix","Snacks",195.00,13
"Zaam Runnix","Juices",994.00,18
"Dantax","Snacks",719.00,15
"Voldox","Air Fresheners",639.00,5
